진료년도,진료월,시도,시군구,진료과목코드,진료과목명,진료인원(명),진료건수(건)
2022,01,서울특별시,용산구,50,구강악안면외과,2813,4037
2022,01,서울특별시,용산구,51,치과보철과,988,1432
2022,01,서울특별시,용산구,52,치과교정과,24,26
2022,01,서울특별시,용산구,53,소아치과,919,1042
2022,01,서울특별시,용산구,54,치주과,8301,10351
2022,01,서울특별시,용산구,55,치과보존과,6883,10205
2022,01,서울특별시,용산구,56,구강내과,231,266
2022,01,서울특별시,용산구,57,구강악안면방사선과,77,77
2022,01,서울특별시,용산구,59,예방치과,13,13
2022,01,서울특별시,용산구,61,통합치의학과,29,39
2022,01,서울특별시,용산구,71,의과,31,40
2022,01,서울특별시,성동구,0,일반,861,1044
2022,01,서울특별시,성동구,1,내과,64525,110407
2022,01,서울특별시,성동구,2,신경과,4189,5425
2022,01,서울특별시,성동구,3,정신건강의학과,7667,11627
2022,01,서울특별시,성동구,4,외과,6725,11693
2022,01,서울특별시,성동구,5,정형외과,21831,49723
2022,01,서울특별시,성동구,6,신경외과,2922,5361
2022,01,서울특별시,성동구,7,심장혈관흉부외과,655,963
2022,01,서울특별시,성동구,8,성형외과,474,1011
2022,01,서울특별시,성동구,9,마취통증의학과,2787,6385
2022,01,서울특별시,성동구,10,산부인과,8553,15128
2022,01,서울특별시,성동구,11,소아청소년과,4966,8584
2022,01,서울특별시,성동구,12,안과,15229,20518
2022,01,서울특별시,성동구,13,이비인후과,16658,30085
2022,01,서울특별시,성동구,14,피부과,12399,18634
2022,01,서울특별시,성동구,15,비뇨의학과,4992,7924
2022,01,서울특별시,성동구,16,영상의학과,225,272
2022,01,서울특별시,성동구,17,방사선종양학과,195,853
2022,01,서울특별시,성동구,19,진단검사의학과,59,77
2022,01,서울특별시,성동구,20,결핵과,413,678
2022,01,서울특별시,성동구,21,재활의학과,2356,5768
2022,01,서울특별시,성동구,22,핵의학과,18,26
2022,01,서울특별시,성동구,23,가정의학과,6478,9301
2022,01,서울특별시,성동구,24,응급의학과,1912,2932
2022,01,서울특별시,성동구,25,직업환경의학과,48,76
2022,01,서울특별시,성동구,26,예방의학과,5,5
2022,01,서울특별시,성동구,27,그외 자료27,29,37
2022,01,서울특별시,성동구,49,치과,3568,4079
2022,01,서울특별시,성동구,50,구강악안면외과,3672,5275
2022,01,서울특별시,성동구,51,치과보철과,1251,1920
2022,01,서울특별시,성동구,52,치과교정과,45,50
2022,01,서울특별시,성동구,53,소아치과,1586,1731
2022,01,서울특별시,성동구,54,치주과,10295,12827
2022,01,서울특별시,성동구,55,치과보존과,8986,13208
2022,01,서울특별시,성동구,56,구강내과,272,330
2022,01,서울특별시,성동구,57,구강악안면방사선과,78,80
2022,01,서울특별시,성동구,61,통합치의학과,27,31
2022,01,서울특별시,성동구,71,의과,37,48
2022,01,서울특별시,광진구,0,일반,690,862
2022,01,서울특별시,광진구,1,내과,75905,129574
2022,01,서울특별시,광진구,2,신경과,4844,6390
2022,01,서울특별시,광진구,3,정신건강의학과,8951,13986
2022,01,서울특별시,광진구,4,외과,7242,12457
2022,01,서울특별시,광진구,5,정형외과,26273,58481
2022,01,서울특별시,광진구,6,신경외과,2702,5116
2022,01,서울특별시,광진구,7,심장혈관흉부외과,548,787
2022,01,서울특별시,광진구,8,성형외과,471,928
2022,01,서울특별시,광진구,9,마취통증의학과,4041,8540
2022,01,서울특별시,광진구,10,산부인과,9664,17665
2022,01,서울특별시,광진구,11,소아청소년과,4630,7720
2022,01,서울특별시,광진구,12,안과,16580,22385
2022,01,서울특별시,광진구,13,이비인후과,16934,28316
2022,01,서울특별시,광진구,14,피부과,14093,21551
2022,01,서울특별시,광진구,15,비뇨의학과,6351,9267
2022,01,서울특별시,광진구,16,영상의학과,235,271
2022,01,서울특별시,광진구,17,방사선종양학과,199,886
2022,01,서울특별시,광진구,19,진단검사의학과,77,132
2022,01,서울특별시,광진구,20,결핵과,44,70
2022,01,서울특별시,광진구,21,재활의학과,2208,5278
2022,01,서울특별시,광진구,22,핵의학과,19,33
2022,01,서울특별시,광진구,23,가정의학과,6203,8558
2022,01,서울특별시,광진구,24,응급의학과,2128,2755
2022,01,서울특별시,광진구,25,직업환경의학과,101,210
2022,01,서울특별시,광진구,27,그외 자료27,10,14
2022,01,서울특별시,광진구,49,치과,3964,4394
2022,01,서울특별시,광진구,50,구강악안면외과,4490,6517
2022,01,서울특별시,광진구,51,치과보철과,1487,2183
2022,01,서울특별시,광진구,52,치과교정과,28,28
2022,01,서울특별시,광진구,53,소아치과,1699,1895
2022,01,서울특별시,광진구,54,치주과,12262,14886
2022,01,서울특별시,광진구,55,치과보존과,11167,15961
2022,01,서울특별시,광진구,56,구강내과,403,520
2022,01,서울특별시,광진구,57,구강악안면방사선과,74,77
2022,01,서울특별시,광진구,59,예방치과,15,16
2022,01,서울특별시,광진구,61,통합치의학과,12,17
2022,01,서울특별시,광진구,71,의과,60,71
2022,01,서울특별시,동대문구,0,일반,690,839
2022,01,서울특별시,동대문구,1,내과,77090,135507
2022,01,서울특별시,동대문구,2,신경과,5260,7355
2022,01,서울특별시,동대문구,3,정신건강의학과,8964,13557
2022,01,서울특별시,동대문구,4,외과,6562,11079
2022,01,서울특별시,동대문구,5,정형외과,24999,59035
2022,01,서울특별시,동대문구,6,신경외과,5300,12170
2022,01,서울특별시,동대문구,7,심장혈관흉부외과,504,734
2022,01,서울특별시,동대문구,8,성형외과,390,754
2022,01,서울특별시,동대문구,9,마취통증의학과,3403,6567
2022,01,서울특별시,동대문구,10,산부인과,8613,14599
2022,01,서울특별시,동대문구,11,소아청소년과,4695,8653
2022,01,서울특별시,동대문구,12,안과,17861,24055
2022,01,서울특별시,동대문구,13,이비인후과,17287,30498
2022,01,서울특별시,동대문구,14,피부과,14321,21488
2022,01,서울특별시,동대문구,15,비뇨의학과,6416,9348
2022,01,서울특별시,동대문구,16,영상의학과,357,398
2022,01,서울특별시,동대문구,17,방사선종양학과,273,1171
2022,01,서울특별시,동대문구,19,진단검사의학과,63,99
2022,01,서울특별시,동대문구,20,결핵과,16,27
2022,01,서울특별시,동대문구,21,재활의학과,2725,6387
2022,01,서울특별시,동대문구,22,핵의학과,13,15
2022,01,서울특별시,동대문구,23,가정의학과,7773,10591
2022,01,서울특별시,동대문구,24,응급의학과,2758,3934
2022,01,서울특별시,동대문구,25,직업환경의학과,102,240
2022,01,서울특별시,동대문구,27,그외 자료27,6,6
2022,01,서울특별시,동대문구,49,치과,4245,4729
2022,01,서울특별시,동대문구,50,구강악안면외과,5093,7422
2022,01,서울특별시,동대문구,51,치과보철과,1764,2704
2022,01,서울특별시,동대문구,52,치과교정과,30,30
2022,01,서울특별시,동대문구,53,소아치과,1595,1775
2022,01,서울특별시,동대문구,54,치주과,11218,14023
2022,01,서울특별시,동대문구,55,치과보존과,10557,15901
2022,01,서울특별시,동대문구,56,구강내과,433,616
2022,01,서울특별시,동대문구,57,구강악안면방사선과,154,154
2022,01,서울특별시,동대문구,61,통합치의학과,21,22
2022,01,서울특별시,동대문구,71,의과,47,56
2022,01,서울특별시,중랑구,0,일반,659,847
2022,01,서울특별시,중랑구,1,내과,89716,154086
2022,01,서울특별시,중랑구,2,신경과,6358,8348
2022,01,서울특별시,중랑구,3,정신건강의학과,9791,14326
2022,01,서울특별시,중랑구,4,외과,8385,14556
2022,01,서울특별시,중랑구,5,정형외과,32735,79195
2022,01,서울특별시,중랑구,6,신경외과,5120,9393
2022,01,서울특별시,중랑구,7,심장혈관흉부외과,592,831
2022,01,서울특별시,중랑구,8,성형외과,382,744
2022,01,서울특별시,중랑구,9,마취통증의학과,2996,6251
2022,01,서울특별시,중랑구,10,산부인과,10094,17000
2022,01,서울특별시,중랑구,11,소아청소년과,7202,15051
2022,01,서울특별시,중랑구,12,안과,21029,27558
2022,01,서울특별시,중랑구,13,이비인후과,21438,37006
2022,01,서울특별시,중랑구,14,피부과,15919,24182
2022,01,서울특별시,중랑구,15,비뇨의학과,7459,10816
2022,01,서울특별시,중랑구,16,영상의학과,349,432
2022,01,서울특별시,중랑구,17,방사선종양학과,270,1244
2022,01,서울특별시,중랑구,19,진단검사의학과,58,87
2022,01,서울특별시,중랑구,20,결핵과,12,21
2022,01,서울특별시,중랑구,21,재활의학과,2374,5553
2022,01,서울특별시,중랑구,22,핵의학과,60,100
2022,01,서울특별시,중랑구,23,가정의학과,12273,18602
2022,01,서울특별시,중랑구,24,응급의학과,2530,3208
2022,01,서울특별시,중랑구,25,직업환경의학과,265,826
2022,01,서울특별시,중랑구,26,예방의학과,6,8
2022,01,서울특별시,중랑구,27,그외 자료27,11,12
2022,01,서울특별시,중랑구,49,치과,4885,5484
2022,01,서울특별시,중랑구,50,구강악안면외과,5721,8445
2022,01,서울특별시,중랑구,51,치과보철과,1939,2974
2022,01,서울특별시,중랑구,52,치과교정과,19,19
2022,01,서울특별시,중랑구,53,소아치과,1300,1467
2022,01,서울특별시,중랑구,54,치주과,13756,17624
2022,01,서울특별시,중랑구,55,치과보존과,11582,17423
2022,01,서울특별시,중랑구,56,구강내과,436,616
2022,01,서울특별시,중랑구,57,구강악안면방사선과,80,80
2022,01,서울특별시,중랑구,59,예방치과,17,20
2022,01,서울특별시,중랑구,61,통합치의학과,17,25
2022,01,서울특별시,중랑구,71,의과,67,78
2022,01,서울특별시,성북구,0,일반,750,911
2022,01,서울특별시,성북구,1,내과,91186,152173
2022,01,서울특별시,성북구,2,신경과,7817,10640
2022,01,서울특별시,성북구,3,정신건강의학과,10849,16254
2022,01,서울특별시,성북구,4,외과,8696,14966
2022,01,서울특별시,성북구,5,정형외과,31157,70663
